,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
11,26,336,2,sma,StochAstic_d,364,53,6,8,0.35,1930,209,135,80,684,94,32,613,308,133,847,104,353,348,788,538,433,283,893,864,459,378,895,141,747,623,371,862,32,222,19,23,23,1,753,8,25,81,18,308,22,6,0.3,0.06,1.06,1.02,1.12,1.04,True,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,-1.0,True,False,0.1390366310461507,0.0671007359170346,0.0658804937523186
12,23,287,3,wma,StochAstic_k,336,40,6,14,0.3,1949,894,15,148,136,8,124,401,339,386,664,283,167,843,947,711,446,279,551,536,459,418,872,81,910,381,412,391,366,187,3,9,84,3,336,12,51,7,10,479,11,22,0.18,0.14,0.43,0.82,0.6,0.98,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,15.361023434622656,True,False,-0.1023583146446122,-0.0254213840930354,-0.0267001130438281
13,23,303,3,wma,StochAstic_d,376,49,6,11,0.02,1488,399,317,52,615,233,66,224,72,17,829,18,376,523,981,522,457,435,875,533,397,388,579,913,143,855,357,588,935,932,13,51,19,9,892,5,7,26,17,116,14,24,0.28,0.26,1.2,1.05,1.11,1.11,False,True,False,False,True,True,False,False,True,True,True,False,True,True,False,True,True,-1.0,True,False,0.1201955373067512,0.0460303161751056,0.0454509514797447
14,29,368,3,sma,StochAstic_d,290,52,2,13,0.06,2767,254,365,376,614,300,171,947,262,116,999,352,250,174,950,812,353,309,680,576,337,281,347,595,816,304,758,70,678,116,5,25,22,13,900,7,48,104,9,259,17,8,0.05,0.05,0.53,0.66,0.77,0.88,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False,5.128657870326464,True,False,-0.0258572369299215,-0.0102149607659535,-0.0084621290875397
15,28,297,3,ema,StochAstic_d,205,53,3,8,0.25,2841,294,314,151,656,285,312,974,193,140,970,347,35,692,925,698,468,344,952,617,498,293,258,444,304,676,203,355,88,775,23,26,97,16,670,7,51,53,3,486,9,23,0.06,0.39,0.31,0.34,0.57,0.61,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,-1.0,True,False,0.0612966370447318,0.0203717396400099,0.019161513783927
16,23,270,3,sma,StochAstic_k,136,44,1,12,0.25,2163,235,200,298,621,25,73,387,121,359,468,203,35,297,783,706,471,263,752,535,402,399,668,135,252,170,748,197,224,891,10,35,95,15,125,6,50,46,8,458,13,17,0.33,0.29,0.56,0.8,0.7,0.96,False,False,True,True,False,True,True,False,True,False,False,False,False,True,True,False,True,-1.0,True,False,-0.139967773140962,-0.0409608123115676,-0.0420506327563068
17,26,369,3,sma,StochAstic_k,110,44,6,20,0.34,2593,204,299,102,542,193,391,21,88,25,366,63,381,792,679,612,452,292,981,595,338,259,705,183,451,809,704,841,202,723,20,35,65,9,230,6,29,96,3,587,8,20,0.03,0.37,1.07,1.18,1.17,1.04,True,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,True,-1.0,True,False,-0.0423021514526032,-0.0068297477734587,-0.0070327712071386
18,22,341,2,ema,StochAstic_d,318,49,6,9,0.16,496,818,364,72,794,237,275,104,313,344,804,379,323,6,867,557,402,262,854,694,361,260,626,43,90,272,284,514,993,694,13,14,25,18,64,8,24,63,16,446,17,2,0.02,0.19,1.03,1.08,1.0,1.2,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,-1.0,True,False,0.0445987492466237,0.0115065473870001,0.0111087076376419
19,22,260,3,ema,StochAstic_k,205,50,5,9,0.34,1892,416,375,328,641,368,24,354,93,314,609,296,274,683,902,662,322,273,681,507,275,254,626,206,121,678,618,847,529,954,8,40,48,10,891,13,50,32,11,421,18,4,0.31,0.1,0.92,0.88,0.95,0.96,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,-1.0,True,False,-0.0356604615264842,-0.0054859484319288,-0.0071383953745174
20,28,297,3,ema,StochAstic_k,213,47,6,17,0.2,2870,719,393,117,389,168,295,531,386,354,465,158,389,114,803,736,433,377,973,767,421,353,319,833,340,486,670,600,401,771,2,37,102,16,351,15,36,93,19,960,22,19,0.38,0.11,1.1,1.03,1.03,1.07,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,-1.0,True,False,0.0372048818799776,0.0063589280144467,0.0055394737525712
