,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
55,994.0,671.0,33.0,sma,StochAstic_d,321.0,183.0,6.0,17.0,0.1,1503.0,982.0,218.0,296.0,589.0,349.0,193.0,790.0,258.0,181.0,562.0,190.0,309.0,924.0,968.0,570.0,472.0,254.0,837.0,731.0,406.0,360.0,382.0,451.0,186.0,278.0,452.0,468.0,643.0,460.0,15.0,53.0,88.0,11.0,414.0,11.0,43.0,50.0,1.0,721.0,16.0,6.0,0.31,0.04,0.48,0.7,0.66,0.87,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,9.770537518913445,True,False,-0.1365478857178477,-0.1652422457869482,-0.1674734719205369
56,1042.0,646.0,34.0,wma,StochAstic_k,65.0,172.0,2.0,10.0,0.37,2023.0,730.0,278.0,199.0,913.0,296.0,254.0,611.0,51.0,50.0,489.0,397.0,191.0,387.0,974.0,679.0,415.0,281.0,974.0,551.0,356.0,261.0,614.0,796.0,539.0,236.0,741.0,178.0,293.0,679.0,12.0,50.0,94.0,6.0,914.0,6.0,13.0,47.0,11.0,946.0,21.0,4.0,0.27,0.31,0.36,0.64,0.87,1.0,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,36.161042679831255,True,False,-0.1504510556224725,-0.1197647609756274,-0.1204882406020052
57,93.0,338.0,31.0,sma,StochAstic_k,113.0,87.0,3.0,16.0,0.23,1185.0,509.0,362.0,317.0,206.0,396.0,300.0,83.0,393.0,59.0,488.0,111.0,279.0,728.0,934.0,880.0,421.0,381.0,973.0,569.0,392.0,286.0,580.0,521.0,337.0,620.0,299.0,381.0,557.0,592.0,11.0,13.0,28.0,19.0,275.0,2.0,15.0,85.0,18.0,521.0,24.0,3.0,0.18,0.01,0.11,0.3,0.6,0.87,True,True,False,True,False,True,True,False,True,True,True,False,True,True,True,False,True,26.647279923220445,True,False,-0.1830285151655055,-0.0934322906350905,-0.0959407637344349
58,107.0,275.0,39.0,ema,StochAstic_k,104.0,99.0,1.0,4.0,0.11,1099.0,711.0,38.0,370.0,334.0,304.0,228.0,656.0,80.0,5.0,154.0,288.0,318.0,409.0,871.0,613.0,363.0,308.0,744.0,534.0,391.0,373.0,219.0,581.0,436.0,238.0,763.0,973.0,62.0,596.0,12.0,35.0,26.0,6.0,354.0,15.0,16.0,16.0,13.0,815.0,8.0,17.0,0.21,0.04,0.22,0.38,0.53,0.74,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,56.88295902652374,True,False,-0.1342589179822743,-0.0615774881931552,-0.0631854487277155
59,99.0,337.0,29.0,ema,StochAstic_k,329.0,90.0,5.0,14.0,0.34,745.0,275.0,276.0,99.0,619.0,272.0,255.0,10.0,289.0,338.0,943.0,83.0,320.0,840.0,817.0,535.0,492.0,318.0,767.0,717.0,350.0,278.0,848.0,88.0,851.0,352.0,63.0,773.0,517.0,824.0,10.0,56.0,53.0,4.0,483.0,2.0,41.0,82.0,4.0,499.0,8.0,10.0,0.27,0.31,0.1,0.13,0.4,0.46,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,27.409830263597165,True,False,-0.1998848271551955,-0.1083554867139069,-0.1103346996663654
60,172.0,56.0,13.0,sma,StochAstic_d,276.0,465.0,6.0,20.0,0.2,1690.0,531.0,114.0,195.0,58.0,237.0,233.0,58.0,139.0,147.0,97.0,74.0,178.0,469.0,772.0,546.0,416.0,410.0,579.0,510.0,470.0,291.0,433.0,580.0,104.0,16.0,966.0,351.0,367.0,357.0,17.0,47.0,14.0,20.0,480.0,8.0,33.0,85.0,19.0,750.0,15.0,21.0,0.17,0.03,0.54,0.61,0.88,0.94,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,10.528776199063811,True,False,-0.0880247525989331,-0.0689255638039086,-0.0738463975085521
61,116.0,309.0,35.0,ema,StochAstic_d,387.0,82.0,6.0,8.0,0.19,2732.0,505.0,192.0,273.0,578.0,50.0,315.0,91.0,254.0,373.0,734.0,233.0,303.0,992.0,822.0,691.0,325.0,293.0,717.0,670.0,381.0,271.0,384.0,89.0,611.0,276.0,831.0,854.0,435.0,148.0,7.0,60.0,84.0,13.0,511.0,5.0,41.0,43.0,19.0,139.0,4.0,17.0,0.16,0.07,0.3,0.41,0.52,0.7,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,5.644323640176324,True,False,-0.0887657118632604,-0.0423969178606014,-0.0429605873909341
62,158.0,83.0,15.0,wma,StochAstic_d,214.0,416.0,2.0,13.0,0.16,2282.0,952.0,322.0,359.0,946.0,393.0,221.0,402.0,221.0,258.0,205.0,77.0,299.0,859.0,777.0,702.0,492.0,427.0,968.0,644.0,481.0,457.0,267.0,477.0,458.0,551.0,620.0,939.0,894.0,340.0,2.0,6.0,37.0,13.0,791.0,7.0,26.0,38.0,18.0,128.0,6.0,19.0,0.03,0.33,0.45,0.67,0.83,0.99,True,False,True,True,True,True,False,False,True,False,True,False,False,False,True,False,True,8.699309507558636,True,False,-0.097631468500286,-0.0813866659971389,-0.0828585102588421
63,157.0,78.0,19.0,ema,StochAstic_d,353.0,433.0,5.0,4.0,0.19,496.0,697.0,291.0,307.0,767.0,163.0,160.0,293.0,349.0,339.0,146.0,240.0,160.0,327.0,801.0,509.0,494.0,445.0,986.0,841.0,495.0,357.0,142.0,743.0,24.0,932.0,818.0,729.0,412.0,18.0,14.0,27.0,78.0,19.0,657.0,8.0,46.0,24.0,5.0,390.0,14.0,11.0,0.02,0.03,0.41,0.82,0.79,1.14,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,9.524069486612053,True,False,-0.1355341165081748,-0.1400684158481658,-0.1410701491137009
64,119.0,325.0,34.0,wma,StochAstic_k,265.0,77.0,4.0,9.0,0.21,1474.0,567.0,31.0,72.0,751.0,199.0,90.0,194.0,272.0,91.0,821.0,208.0,91.0,537.0,813.0,689.0,349.0,298.0,772.0,616.0,428.0,293.0,682.0,149.0,825.0,19.0,386.0,203.0,384.0,248.0,14.0,21.0,63.0,2.0,129.0,9.0,29.0,8.0,11.0,271.0,4.0,19.0,0.32,0.27,0.22,0.38,0.53,0.74,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True,True,43.70651481524215,True,False,-0.1652309205335492,-0.0823338588754856,-0.0835202252952477
