,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
2840,861.0,562.0,12.0,ema,StochAstic_k,-0.1061898803287945,-0.1100562172431118,5.0,114.0,325.0,20T,-0.0749318987971684
2841,879.0,100.0,27.0,ema,StochAstic_k,-0.1144008530116082,-0.115374205093322,5.0,382.0,326.0,20T,-0.0750290281295445
2842,338.0,113.0,6.0,ema,StochAstic_d,-0.0725763031858512,-0.0710109129155212,3.0,259.0,97.0,20T,-0.0750431859555457
2843,395.0,95.0,32.0,ema,StochAstic_d,-0.0758621678790673,-0.0753608635019116,5.0,417.0,111.0,20T,-0.0750702066987761
2844,380.0,9.0,5.0,wma,StochAstic_k,-0.0516548282680801,-0.0531953687816526,2.0,313.0,53.0,20T,-0.0750761204298833
2845,796.0,556.0,13.0,wma,StochAstic_d,-0.1610160095269533,-0.1642766647133286,1.0,264.0,260.0,20T,-0.0750795463082578
2846,803.0,669.0,34.0,ema,StochAstic_d,-0.1628992319192286,-0.1624536570992183,1.0,336.0,496.0,20T,-0.0750912794061119
2847,662.0,324.0,46.0,wma,StochAstic_d,-0.1288164319337765,-0.1264615149058072,2.0,245.0,273.0,20T,-0.0750990306218753
2848,145.0,132.0,14.0,wma,StochAstic_k,-0.0497321084493419,-0.0526091488575039,1.0,494.0,62.0,20T,-0.0751169110681936
2849,827.0,619.0,13.0,ema,StochAstic_d,-0.1774432494262041,-0.170746627215332,4.0,163.0,438.0,20T,-0.0751357369508324
2850,479.0,166.0,17.0,ema,StochAstic_d,-0.1145727959947479,-0.1098164243398605,3.0,264.0,334.0,20T,-0.0753487252217876
2851,842.0,276.0,31.0,sma,StochAstic_d,-0.0904882859470885,-0.0879237681048547,4.0,441.0,104.0,20T,-0.0754566414947138
2852,464.0,263.0,3.0,wma,StochAstic_k,-0.1044835968194091,-0.1030081145395618,5.0,78.0,278.0,20T,-0.0755080372331855
