,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
116,open,1,20,139,6,11,0.32,2230,402,222,293,185,277,46,696,381,204,253,329,218,263,881,728,431,372,950,625,479,355,372,463,878,603,703,576,651,975,29,47,100,13,905,10,11,67,18,36,22,15,0.27,0.06,1.11,1.11,1.19,1.19,True,False,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,0.0,False,True,0.0,0.0,0.0
117,open,2,20,195,6,7,0.35,1024,629,45,99,283,357,359,495,391,90,59,47,5,241,846,634,473,417,826,803,390,305,290,382,698,626,668,924,154,588,7,39,97,20,86,12,16,60,1,992,4,13,0.24,0.15,1.01,1.19,1.04,1.14,True,False,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False,0.0,False,True,0.0,0.0,0.0
118,high,2,18,357,6,18,0.14,1968,847,51,334,600,97,336,781,179,76,484,339,21,695,694,550,479,442,825,591,354,340,805,165,237,681,165,107,639,47,24,47,40,14,343,5,21,57,16,706,6,16,0.13,0.03,1.18,1.01,1.08,1.01,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,0.0,False,True,0.0,0.0,0.0
119,HLCC/4,2,14,152,6,6,0.11,229,419,143,77,359,392,91,500,239,384,650,86,268,627,684,628,482,418,659,560,325,313,455,140,852,383,512,523,214,896,16,23,17,9,154,13,30,72,7,439,15,25,0.27,0.1,1.19,1.1,1.05,1.11,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,0.0,False,True,0.0,0.0,0.0
120,open,2,20,297,6,14,0.35,576,297,279,290,584,81,263,781,245,147,772,338,168,119,846,764,470,468,788,677,429,409,924,994,312,72,686,846,139,366,7,27,57,18,444,7,18,76,16,288,21,18,0.01,0.2,1.05,1.18,1.09,1.13,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,0.0,False,True,0.0,0.0,0.0
121,HLC/3,1,15,74,6,15,0.08,1795,705,25,9,294,134,121,523,294,5,913,96,205,468,848,825,369,321,606,506,467,331,112,530,179,867,161,242,306,397,12,20,75,15,974,3,25,89,1,228,16,20,0.07,0.38,1.13,1.08,1.14,1.07,True,False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,0.0,False,True,0.0,0.0,0.0
122,HLCC/4,2,14,61,6,20,0.13,1578,372,371,30,801,9,87,113,269,48,535,214,64,556,852,581,409,367,800,775,421,354,777,486,20,614,317,334,72,529,5,41,12,12,79,13,43,76,9,537,4,20,0.37,0.08,1.02,1.05,1.02,1.05,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True,0.0,False,True,0.0,0.0,0.0
123,open,2,17,78,6,10,0.1,311,255,179,364,316,275,311,986,269,185,274,136,65,448,828,683,404,263,957,663,405,334,417,331,935,251,913,163,623,316,25,30,10,18,874,3,37,2,1,32,12,22,0.04,0.34,1.0,1.13,1.04,1.2,False,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,0.0,False,True,0.0,0.0,0.0
124,HLC/3,2,20,98,6,6,0.08,1457,296,52,239,895,313,332,872,182,288,517,103,375,677,945,505,480,250,723,634,289,279,665,957,818,801,648,27,259,44,16,18,10,18,289,9,29,91,3,874,5,11,0.1,0.25,1.18,1.18,1.03,1.17,True,True,True,True,False,True,False,True,True,False,False,True,False,False,True,True,False,0.0,False,True,0.0,0.0,0.0
125,HLC/3,2,20,237,6,9,0.35,2922,690,27,75,635,91,256,410,247,382,537,385,264,771,913,715,382,284,998,902,417,408,620,488,336,385,443,175,899,124,20,35,9,13,808,15,35,67,20,138,13,10,0.25,0.14,1.19,1.19,1.17,1.04,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,0.0,False,True,0.0,0.0,0.0
