,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
16,close,27,302,296,5,4,0.09,623,211,215,350,847,318,284,526,41,290,166,312,22,887,813,614,500,448,606,594,445,332,557,432,431,696,323,90,55,664,24,52,82,5,452,11,34,46,3,346,7,17,0.2,0.1,0.16,0.34,0.54,0.74,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,True,13.407086164069453,True,False,-0.0938550110714362,-0.0641871457739553,-0.0707706107492207
17,low,27,238,397,4,20,0.34,2032,356,40,285,444,130,330,567,199,4,881,56,73,282,860,858,397,281,991,616,381,286,88,723,860,528,897,576,315,708,14,57,48,1,176,9,39,6,20,327,21,16,0.14,0.01,0.12,0.14,0.29,0.35,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,-1.0,True,False,0.0731158813513671,0.0533716408549229,0.0369878777085486
18,HLCC/4,61,105,64,6,20,0.32,1492,671,312,107,311,376,216,455,180,387,137,109,363,2,665,529,446,379,864,849,444,295,739,648,292,983,14,365,359,654,7,31,18,19,511,9,45,102,3,287,1,7,0.18,0.13,1.0,1.09,1.09,1.06,False,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True,False,-1.0,True,False,0.0437493387722687,0.0172622286057711,0.0078492677114303
19,OHLC/4,66,82,243,2,15,0.24,768,403,184,224,970,240,169,570,153,77,181,304,86,437,895,562,258,257,927,525,486,266,226,62,96,85,949,996,857,274,10,34,68,13,285,5,8,3,11,626,11,14,0.36,0.22,0.86,0.97,0.93,0.92,False,False,True,True,True,False,False,False,True,False,False,True,False,True,True,True,True,13.79014197648623,True,False,-0.104990854314843,-0.0865224080275365,-0.0916163436015565
20,HLCC/4,36,278,345,6,8,0.37,841,880,347,184,945,331,347,866,201,395,306,138,187,895,624,511,429,378,900,585,415,348,769,504,38,321,30,472,483,20,2,35,78,14,386,2,11,48,2,604,20,19,0.01,0.31,1.15,1.08,1.09,1.12,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,True,-1.0,True,False,-0.0488111456165231,-0.0110959661069864,-0.0167960551247877
21,HLCC/4,73,106,202,5,2,0.07,1215,672,228,382,643,357,294,63,274,181,126,225,194,586,765,507,461,330,767,561,373,259,461,164,485,634,157,950,55,846,8,30,95,9,712,16,51,15,3,660,6,22,0.28,0.23,0.3,0.62,0.91,1.11,True,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,True,63.51097280141306,True,False,-0.0891747436520848,-0.037199941381905,-0.0471847858174713
22,HLCC/4,36,265,101,5,6,0.18,1011,701,292,177,553,371,109,906,316,346,270,294,159,418,875,707,393,252,964,956,381,336,936,532,235,446,388,46,731,817,5,16,25,7,163,7,45,52,16,820,3,4,0.33,0.14,0.16,0.19,0.73,0.78,True,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,25.94823888687233,True,False,-0.1236666865101518,-0.0911657050690961,-0.0978567567006256
23,high,35,210,138,5,4,0.21,2701,638,247,82,631,167,168,537,311,157,943,115,339,910,933,862,472,386,693,645,499,352,932,326,9,763,698,90,718,249,12,40,40,8,77,14,41,8,13,285,8,22,0.14,0.02,0.09,0.13,0.44,0.56,False,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,True,44.04068865702655,True,False,-0.15812469528016,-0.1216707045221512,-0.1269325826833204
24,open,35,266,260,5,1,0.19,778,201,5,320,25,349,309,544,261,396,956,145,197,69,850,651,440,401,962,765,384,318,145,28,359,236,237,232,111,331,23,26,100,20,984,15,47,87,20,229,19,2,0.13,0.4,0.05,0.89,0.28,0.36,False,False,False,False,False,True,False,True,True,True,False,False,True,True,True,False,True,-1.0,True,False,-0.1307363104016689,-0.1038515742191894,-0.1075834811860553
25,open,76,82,193,2,16,0.07,1149,862,347,245,117,18,275,127,166,309,33,356,268,544,937,695,355,346,835,776,450,297,892,931,789,786,945,259,845,29,5,15,86,20,431,10,35,99,19,519,8,5,0.38,0.2,0.8,0.82,0.89,0.8,False,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,True,12.578330629211614,True,False,-0.1949351057316951,-0.2380328787570405,-0.2431214376881989
26,OHLC/4,33,276,207,6,18,0.19,1283,370,389,13,198,109,99,457,302,132,931,399,211,997,761,690,483,336,809,744,451,412,237,98,411,446,30,635,91,670,17,48,100,4,959,2,6,96,17,399,20,11,0.2,0.03,1.15,1.11,1.11,1.04,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,-1.0,True,False,-0.01583042054063,-0.001188397060418,-0.005366923476823
27,high,65,100,258,6,4,0.02,965,438,326,333,600,281,7,562,137,91,889,302,100,358,846,646,350,347,652,579,359,358,894,684,495,634,236,210,640,773,8,40,12,9,457,10,37,13,20,765,9,25,0.28,0.21,1.03,1.0,1.04,1.17,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False,False,True,-1.0,True,False,0.0548562389557719,0.020191518961593,0.0145989313597387
28,HL/2,51,111,331,6,12,0.19,1937,431,139,133,243,129,32,394,214,61,194,96,101,796,774,516,397,300,821,614,334,299,945,875,139,2,752,656,684,653,11,51,98,6,504,8,45,17,9,976,6,2,0.2,0.15,0.2,0.66,0.77,1.0,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,False,-1.0,True,False,0.0396671868464329,0.0143471963901847,0.0089147124746641
29,close,52,112,159,1,18,0.05,807,814,48,162,166,135,391,221,247,262,656,91,177,296,668,656,402,288,958,617,352,310,725,293,380,868,631,951,780,312,16,60,85,18,159,4,9,14,4,399,2,19,0.39,0.06,0.74,0.82,0.89,0.83,False,True,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,-1.0,True,False,-0.1096357511795391,-0.0460084698677668,-0.0555097278555184
30,OHLC/4,60,121,229,4,15,0.05,2587,489,385,340,429,344,7,461,70,248,131,85,184,65,954,930,382,374,837,633,321,295,482,201,925,684,375,333,494,979,3,8,48,13,248,3,13,53,6,200,20,13,0.31,0.1,0.27,0.63,0.8,1.04,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True,False,False,45.18994243862015,True,False,-0.129734318133178,-0.079552830866129,-0.0852418978714278
31,close,35,296,179,1,13,0.4,2723,228,268,311,117,119,394,31,281,277,586,35,34,4,890,617,368,255,873,856,447,398,906,915,217,279,1000,89,525,478,4,15,93,9,980,6,11,65,3,416,2,22,0.13,0.4,0.16,0.18,0.65,0.68,False,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,-1.0,True,False,-0.11170704493405276,-0.05230175668523545,-0.05575675846347838
