,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
57,340.0,84.0,49.0,sma,StochAstic_k,-1.0000000000000022,-1.0000000000000022,2.0,60.0,365.0,4H,-0.1259921049894875
63,188.0,144.0,16.0,ema,StochAstic_k,-1.0000000000000029,-1.0000000000000029,5.0,231.0,356.0,4H,-0.12599210498948757
88,610.0,414.0,38.0,wma,StochAstic_d,-1.0000000000000038,-1.0000000000000038,1.0,464.0,72.0,4H,-0.12599210498948765
48,507.0,453.0,39.0,sma,StochAstic_k,-1.0000000000000047,-1.0000000000000047,5.0,483.0,370.0,4H,-0.12599210498948774
61,350.0,296.0,15.0,sma,StochAstic_k,-1.0000000000000062,-1.0000000000000062,6.0,21.0,412.0,4H,-0.12599210498948785
19,296.0,146.0,33.0,wma,StochAstic_k,-1.0000000000000067,-1.0000000000000053,1.0,69.0,236.0,4H,-0.12599210498948785
25,416.0,4.0,20.0,sma,StochAstic_k,-1.0000000000000109,-1.0000000000000135,5.0,72.0,218.0,4H,-0.12599210498948837
82,348.0,189.0,45.0,wma,StochAstic_k,-1.0,-1.0000000000000284,6.0,113.0,302.0,4H,-0.1259921049894885
45,626.0,50.0,25.0,sma,StochAstic_k,-1.000000000000058,-1.000000000000054,1.0,34.0,362.0,4H,-0.12599210498949204
58,541.0,17.0,12.0,wma,StochAstic_d,-0.9175869636737533,-0.8958102502149122,3.0,224.0,126.0,4H,-0.14869889841902292
0,527.0,263.0,25.0,ema,StochAstic_k,-0.9277241932269971,-0.9456286516961095,2.0,398.0,116.0,4H,-0.1739523305792476
