,mean_tp_pr,mean_st_pr,max_tp_pr,max_st_pr,sum_st_pr,sum_tp_pr,num_tp_pr,num_st_pr,num_trade_pr,max_st,max_st_power,min_st,min_st_power,max_tp,max_tp_power,min_tp,min_tp_power,value_front_intervals_pr_upper,value_front_intervals_pr_upper_power,value_front_intervals_pr_lower,value_front_intervals_pr_lower_power,value_back_intervals_pr_upper,value_back_intervals_pr_upper_power,value_back_intervals_pr_lower,value_back_intervals_pr_lower_power,diff_extereme,money,draw_down,score,methode
1981,0.4277090340522589,0.1039148077077299,0.66,0.26,13.695459176836522,51.75039927001035,93,62,155,0.26,0.135593220338983,0.18,0.135593220338983,0.66,0.1694915254237288,0.55,0.1864406779661017,-0.2036659537503766,0.7777777777777778,-0.2955973337631362,0.5555555555555556,-0.0445652302812496,0.7083333333333334,-0.0951460449614206,0.6666666666666666,0.0,29838.546422351,15.563271120648814,44.56631417460597,pr
1982,0.3371528043427595,0.1089224499610343,0.77,0.28,5.947923193488382,15.817178686420196,29,34,63,0.28,0.0888888888888888,0.13,0.0222222222222222,0.77,1.0,0.54,0.1481481481481481,-0.0080442664622923,0.4166666666666667,-0.0131643272213127,0.5,-0.0055052751397514,0.8181818181818182,-0.007504511765649,0.6363636363636364,0.0,402.87389248742,13.835689711879423,16.655017921956826,pr
1983,0.2072830290851806,0.0356227617531932,0.45,0.14,3.4017387057768844,18.83484568057253,70,34,104,0.14,0.2452830188679245,0.07,0.0754716981132075,0.45,0.1176470588235294,0.27,0.2352941176470588,-0.12564711656874,0.5384615384615384,-0.2201981514418949,0.2307692307692307,-0.0880323998098491,0.6153846153846154,-0.1209948898738552,0.3076923076923077,0.0,1179.03999057008,5.945105462304008,36.22892074519151,pr
1984,0.7705180643862165,0.2465065857628151,1.03,0.47,7.8774116435005554,28.01246491350486,29,17,46,0.47,0.782608695652174,0.44,0.782608695652174,1.03,1.0,1.01,1.0,-0.0269065274247024,1.0,-0.0282307991866484,1.0,-0.0094447723810096,0.6363636363636364,-0.0103441507238004,1.0,4.0,1885.361865395751,23.21719115199374,27.228894104427603,pr
1985,0.6822533307194558,0.289369931006741,0.86,0.8,27.440675637019964,80.32938171236323,95,44,139,0.64,0.123076923076923,0.31,0.2769230769230769,0.94,1.0,0.73,0.0743801652892562,-0.0411844622147799,0.9166666666666666,-0.0600257759211943,0.7222222222222222,-0.0264227701001494,0.9705882352941176,-0.0344950801263865,1.0,5.0,56780.88185929467,46.82721768070737,28.204117923177886,pr
1986,0.6390123158042227,0.2263304216693716,0.94,0.55,11.254866691842125,34.422068975270975,42,27,69,0.55,0.1923076923076923,0.36,0.2692307692307692,0.94,1.0,0.82,0.0666666666666666,-1.9641206363001755,1.0,-2.474180870837114,1.0,-1.255980674586788,1.0,-1.470619926390618,0.5238095238095238,5.0,3503.4512041332946,27.82129481854239,23.46805684412732,pr
1987,0.4765182320518967,0.1062647337919334,0.68,0.25,7.915282796724285,33.350426798727774,57,34,91,0.25,0.2962962962962963,0.2,0.2962962962962963,0.68,0.131578947368421,0.61,0.131578947368421,-2.13030815735481,1.0,-2.4987283685803177,0.7222222222222222,-1.353001014211343,0.2777777777777778,-1.51192787248898,0.2777777777777778,5.0,5294.667642652506,20.61412041115776,28.98975353887227,pr
1988,0.6438088667141225,0.3357640203679056,0.89,0.58,15.388099459061928,34.622881462412124,41,28,69,0.58,1.0,0.5,1.0,0.89,1.0,0.84,1.0,-6.290470567882395,1.0,-7.595058671835504,1.0,-0.1165190293384429,1.0,-0.9024190350044914,0.84375,5.0,1505.174696877789,37.16652739794039,17.791966006044166,pr
1989,0.6867195452814466,0.4278532035747542,0.94,0.9078226830740952,9.562005970459094,16.665885179487017,18,14,32,0.8,0.375,0.44,0.25,1.06,0.7333333333333333,0.81,0.1333333333333333,-5.872978723582669,1.0,-11.647630206935826,0.1428571428571428,-2.398211241906532,1.0,-5.644427313223471,0.25,0.0,253.9571256274321,30.87823535099505,8.314612397321254,pr
1990,0.6986064605553137,0.332099923141414,0.89,0.8,19.82225763739877,48.1863408168436,55,29,84,0.71,0.8301886792452831,0.39,1.0,1.0,1.0,0.78,1.0,-1.672312295374782,1.0,-2.183092824462026,1.0,-1.1999600698557606,0.875,-1.415329739951925,1.0,5.0,6161.332135302914,36.404330322806594,16.21800931263835,pr
1991,0.4700653627291472,0.1747352719304604,0.75,0.41,46.00694058297067,110.0932164976378,175,138,313,0.41,0.8235294117647058,0.27,1.0,0.75,1.0,0.62,1.0,-1.8447543189470463,1.0,-2.331017940610544,1.0,-1.2400144338601276,1.0,-1.43574687717135,1.0,5.0,80717.15130288534,33.819256499561966,49.91671067556442,pr
1992,0.8407121906929084,0.4855646021219907,0.98,0.86,11.179999999999998,29.979566449728384,31,13,44,0.67,0.0714285714285714,0.59,0.1071428571428571,0.95,0.1739130434782608,0.89,0.0434782608695652,-3.575825915767849,1.0,-4.238978678765191,0.8,-0.7238809265244006,0.1428571428571428,-1.1443142779568187,0.4285714285714285,0.0,1391.3728966648143,42.72827962926678,16.22125691994183,pr
1993,0.5504929199761323,0.2063146262869114,1.05,0.6785371306223249,9.346188464389042,17.317046321310965,20,31,51,0.71,0.3,0.24,0.7,1.05,1.0,0.85,0.0892857142857142,-1.0321909246559011,1.0,-2.198506160618732,0.4347826086956521,-0.4594488611207448,1.0,-1.0304767189537338,0.48,5.0,295.6260165237684,21.27766265149741,12.928602150503576,pr
1994,0.3185974299613023,0.1242208343006326,0.68,0.33,5.572214529484026,16.663593014114245,39,22,61,0.33,1.0,0.21,0.4166666666666667,0.68,0.1333333333333333,0.4,0.2666666666666666,-0.0460257132708298,0.75,-0.1447515186443135,0.75,0.0343892504228686,0.25,-0.024547745328497,0.125,0.0,526.1958042705854,9.42411965626572,19.93153888966348,pr
1995,0.7117512196483771,0.2769499552733462,0.96,0.55,14.345299354345102,43.976039158877455,48,28,76,0.55,0.28,0.47,0.36,0.96,0.0909090909090909,0.92,0.0909090909090909,-8.001371427809532,0.7058823529411765,-9.679837375187786,0.7058823529411765,0.0107139909266821,0.7857142857142857,-1.0805659477844145,0.7857142857142857,0.0,10196.211046781696,25.767406394495406,24.959002233373013,pr
