,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
2556,HL/2,16.0,427.0,10.0,macdh,-0.24171661576843667,-0.2234295293241462,2.0,47.0,428.0,4H,-0.11745083540183526
1989,OHLC/4,184.0,547.0,12.0,macdh,-0.581302140945391,-0.6985820876357188,1.0,149.0,257.0,4H,-0.11755103387888437
4787,open,107.0,356.0,24.0,macds,-0.6610249992061809,-0.6187930525728332,1.0,63.0,382.0,4H,-0.11783503493399453
830,OHLC/4,66.0,562.0,49.0,macd,-0.6318774180625751,-0.6474013013940961,3.0,63.0,213.0,4H,-0.11783893209575008
632,OHLC/4,214.0,362.0,19.0,macdh,-0.6740358661630144,-0.610316338779016,4.0,87.0,304.0,4H,-0.11805906284264385
1957,low,20.0,134.0,21.0,macdh,-0.2975994210563995,-0.2769413919297958,6.0,60.0,438.0,4H,-0.11812721982641858
3328,OHLC/4,130.0,281.0,31.0,macds,-0.6448534384613253,-0.6426280346244297,4.0,79.0,497.0,4H,-0.11834781013579242
164,HLCC/4,99.0,437.0,7.0,macd,-0.44826981713600544,-0.46253207711410566,6.0,28.0,183.0,4H,-0.11837421553726671
1899,open,146.0,167.0,16.0,macds,-0.4062196111771684,-0.4111131688631586,3.0,5.0,133.0,4H,-0.11864262805227013
3590,HLC/3,138.0,238.0,50.0,macd,-0.6424642465183592,-0.6499532466589271,3.0,49.0,366.0,4H,-0.11864889309317148
1229,HL/2,78.0,580.0,32.0,macdh,-0.5644188133697914,-0.49368103934496055,1.0,160.0,376.0,4H,-0.1186860637175709
4366,low,81.0,299.0,28.0,macdh,-0.41312017757807523,-0.4046927231479203,3.0,91.0,30.0,4H,-0.1186863026725327
3885,HLCC/4,67.0,425.0,9.0,macds,-0.647831072336349,-0.6479899876617308,5.0,93.0,29.0,4H,-0.11885843850386495
554,OHLC/4,215.0,545.0,6.0,macdh,-0.6466146138754483,-0.6504923988887483,4.0,121.0,249.0,4H,-0.11893670728216875
1594,open,272.0,541.0,40.0,macdh,-0.29389148819872535,-0.3594955555437337,6.0,45.0,208.0,4H,-0.11912424800470349
1814,HL/2,207.0,464.0,8.0,macdh,-0.6398406136997097,-0.6656108134110964,2.0,131.0,223.0,4H,-0.11943108776574889
481,OHLC/4,126.0,366.0,17.0,macds,-0.6758683698611792,-0.6302771854809779,3.0,83.0,7.0,4H,-0.11944039570328854
548,HLC/3,13.0,242.0,10.0,macdh,-0.539890746981607,-0.5268292843272783,5.0,388.0,324.0,4H,-0.11950213951535363
4304,high,11.0,228.0,23.0,macdh,-0.3164949471151578,-0.3007545238849445,2.0,68.0,372.0,4H,-0.11966040953064468
2325,HL/2,90.0,297.0,39.0,macds,-0.6553721675835377,-0.6560469133167753,1.0,25.0,387.0,4H,-0.11981033813671306
4014,low,58.0,573.0,47.0,macdh,-0.5396861421348489,-0.5332734321855376,1.0,123.0,47.0,4H,-0.11997225487990015
4726,HL/2,53.0,381.0,14.0,macds,-0.42160810174770136,-0.40986738779675935,6.0,14.0,284.0,4H,-0.12000078965621126
1642,open,64.0,633.0,42.0,macdh,-0.3665403628535749,-0.3938833969315203,5.0,57.0,459.0,4H,-0.12010384434181666
2260,HLCC/4,57.0,387.0,38.0,macds,-0.6595325823929215,-0.659055492219721,3.0,79.0,441.0,4H,-0.12024658284229908
628,OHLC/4,143.0,498.0,12.0,macdh,-0.5101544209059292,-0.5692554238010422,3.0,138.0,285.0,4H,-0.12033354027023954
4105,HLC/3,49.0,534.0,47.0,macdh,-0.3047982986978487,-0.3189484038625743,1.0,26.0,131.0,4H,-0.12050410058541478
4294,HL/2,84.0,246.0,36.0,macdh,-0.2222404852153646,-0.24611649938322064,4.0,15.0,478.0,4H,-0.12051412764020829
3654,high,50.0,644.0,4.0,macds,-0.6654041480637328,-0.6591485087518542,1.0,78.0,362.0,4H,-0.12060803904449877
4290,close,121.0,177.0,29.0,macdh,-0.41779321090526494,-0.42094813428310546,1.0,113.0,408.0,4H,-0.1207063142904062
13,high,175.0,181.0,49.0,macds,-0.656679731189065,-0.6721157351406575,6.0,5.0,405.0,4H,-0.12086091801589194
522,high,230.0,548.0,3.0,macdh,-0.6583686435569601,-0.6704085966834963,1.0,190.0,338.0,4H,-0.12086194197925777
920,OHLC/4,145.0,259.0,5.0,macdh,-0.3503549714833991,-0.360864962223161,4.0,85.0,449.0,4H,-0.12096517153659953
2569,close,86.0,523.0,28.0,macds,-0.6635307744458468,-0.6719335884800672,6.0,24.0,304.0,4H,-0.12126881603733224
3655,high,87.0,525.0,23.0,macds,-0.6811497690735157,-0.6571212395187652,3.0,92.0,428.0,4H,-0.12142721562609911
5008,close,90.0,401.0,6.0,macds,-0.6672827454655476,-0.6721874892453071,1.0,81.0,247.0,4H,-0.1215122615310936
3702,low,95.0,675.0,23.0,macds,-0.6788429939267916,-0.6672376940094119,6.0,86.0,193.0,4H,-0.12190924306906459
4339,close,56.0,517.0,9.0,macds,-0.6725238673915233,-0.6743272744580344,5.0,115.0,263.0,4H,-0.12195870558947537
3561,OHLC/4,25.0,495.0,10.0,macds,-0.33258009847213454,-0.4549340192634587,5.0,18.0,158.0,4H,-0.1219949834697014
2596,high,113.0,198.0,3.0,macdh,-0.4776111189115203,-0.47586951638999114,2.0,182.0,10.0,4H,-0.12205364874720091
1180,low,92.0,380.0,32.0,macds,-0.6809865001970477,-0.6681137855956631,3.0,99.0,312.0,4H,-0.12209081016263902
792,high,12.0,492.0,30.0,macdh,-0.2714627655484483,-0.28317070715403875,4.0,45.0,53.0,4H,-0.12264691032248391
3361,open,171.0,363.0,6.0,macdh,-0.6961061836455681,-0.6626295045398142,1.0,217.0,493.0,4H,-0.12265033842129608
3454,close,134.0,321.0,21.0,macds,-0.6920126923516472,-0.669834887747489,2.0,90.0,370.0,4H,-0.12285154001766456
2401,HLCC/4,108.0,189.0,21.0,macdh,-0.548736653828466,-0.563328800621239,6.0,174.0,358.0,4H,-0.12286430419107082
3023,HL/2,41.0,418.0,42.0,macds,-0.42310168364131884,-0.43844422107676206,3.0,16.0,411.0,4H,-0.12287203032736276
1885,close,56.0,640.0,47.0,macdh,-0.554463958948285,-0.5576643560200589,2.0,122.0,447.0,4H,-0.12287564755324985
3470,OHLC/4,54.0,687.0,13.0,macds,-0.6996958153202111,-0.6630944791658115,2.0,97.0,39.0,4H,-0.12288953284819734
4516,close,110.0,259.0,20.0,macdh,-0.4281869242517341,-0.43513851180956914,1.0,90.0,69.0,4H,-0.12305151762542531
634,HLC/3,21.0,433.0,30.0,macds,-0.6972526372310602,-0.6686676443030696,4.0,137.0,127.0,4H,-0.12308925844681307
