,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
78,285.0,91.0,20.0,wma,StochAstic_k,299.0,68.0,5.0,12.0,0.18,2437.0,414.0,192.0,399.0,727.0,237.0,91.0,47.0,297.0,38.0,25.0,205.0,112.0,466.0,859.0,599.0,375.0,363.0,704.0,676.0,441.0,416.0,63.0,827.0,310.0,300.0,950.0,867.0,567.0,959.0,6.0,14.0,34.0,6.0,521.0,4.0,39.0,42.0,19.0,75.0,7.0,2.0,0.11,0.08,0.79,0.94,0.91,0.92,True,True,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,14.339211126995284,True,False,-0.1011125761902099,-0.0412773086123078,-0.0424475025374528
79,341.0,114.0,20.0,sma,StochAstic_k,350.0,77.0,5.0,17.0,0.28,500.0,980.0,170.0,134.0,467.0,69.0,260.0,450.0,9.0,231.0,301.0,334.0,306.0,456.0,765.0,740.0,356.0,252.0,650.0,535.0,354.0,268.0,204.0,106.0,345.0,219.0,359.0,504.0,24.0,908.0,12.0,43.0,21.0,4.0,292.0,6.0,40.0,99.0,15.0,145.0,25.0,8.0,0.36,0.16,0.92,0.97,0.83,0.93,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,57.5001102847921,True,False,-0.1177525496290415,-0.0681277339249471,-0.0680838884075294
80,757.0,178.0,6.0,sma,StochAstic_d,34.0,112.0,4.0,8.0,0.22,1051.0,545.0,194.0,262.0,768.0,327.0,2.0,58.0,186.0,396.0,233.0,319.0,333.0,451.0,900.0,637.0,346.0,334.0,838.0,692.0,438.0,427.0,441.0,448.0,24.0,184.0,543.0,964.0,184.0,490.0,22.0,43.0,18.0,8.0,794.0,7.0,45.0,77.0,16.0,865.0,7.0,3.0,0.36,0.4,0.32,0.32,0.53,0.54,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,True,True,9.06250512389702,True,False,-0.0882448848263666,-0.0596813435409276,-0.0606005309907573
81,780.0,231.0,5.0,sma,StochAstic_k,284.0,99.0,4.0,20.0,0.08,1304.0,818.0,211.0,216.0,984.0,292.0,191.0,837.0,17.0,120.0,816.0,57.0,290.0,385.0,960.0,834.0,361.0,351.0,800.0,684.0,483.0,370.0,776.0,173.0,357.0,465.0,960.0,651.0,640.0,208.0,11.0,27.0,44.0,6.0,792.0,16.0,23.0,89.0,10.0,199.0,13.0,9.0,0.2,0.18,0.19,0.19,0.69,0.69,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,False,50.82187270923495,True,False,-0.131446903687187,-0.079110805785615,-0.0788703720975437
82,705.0,190.0,6.0,wma,StochAstic_k,9.0,138.0,4.0,10.0,0.39,1674.0,566.0,324.0,264.0,568.0,300.0,111.0,218.0,8.0,108.0,839.0,101.0,68.0,370.0,999.0,515.0,475.0,274.0,803.0,649.0,477.0,399.0,959.0,521.0,174.0,616.0,495.0,871.0,691.0,804.0,3.0,34.0,13.0,12.0,767.0,3.0,43.0,5.0,9.0,262.0,4.0,20.0,0.16,0.12,0.07,0.82,0.53,0.58,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,27.77859946518068,True,False,-0.1253122353914402,-0.0851114786292504,-0.0843804298454641
83,365.0,91.0,23.0,wma,StochAstic_k,25.0,79.0,1.0,4.0,0.25,1753.0,743.0,93.0,308.0,467.0,164.0,62.0,906.0,212.0,28.0,339.0,256.0,389.0,572.0,764.0,713.0,447.0,310.0,890.0,665.0,439.0,257.0,435.0,795.0,904.0,771.0,42.0,660.0,906.0,47.0,3.0,5.0,3.0,8.0,4.0,14.0,30.0,70.0,16.0,412.0,24.0,2.0,0.38,0.28,0.79,0.89,0.85,0.82,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,57.5001102847921,True,False,-0.1177525496290415,-0.0681277339249471,-0.0680838884075294
84,340.0,78.0,17.0,ema,StochAstic_k,151.0,71.0,3.0,9.0,0.04,2576.0,519.0,124.0,46.0,669.0,371.0,221.0,422.0,198.0,168.0,177.0,15.0,2.0,187.0,791.0,771.0,333.0,281.0,906.0,673.0,381.0,368.0,81.0,821.0,254.0,696.0,710.0,910.0,780.0,165.0,8.0,12.0,55.0,1.0,442.0,12.0,37.0,52.0,1.0,133.0,2.0,11.0,0.23,0.05,0.5,0.63,0.8,0.9,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,36.71501359996408,True,False,-0.115176672879627,-0.0519136290225652,-0.0525562258536717
85,331.0,102.0,18.0,sma,StochAstic_d,360.0,81.0,6.0,19.0,0.31,1133.0,815.0,11.0,94.0,146.0,206.0,25.0,353.0,241.0,105.0,804.0,33.0,166.0,287.0,678.0,644.0,462.0,385.0,785.0,514.0,469.0,356.0,658.0,147.0,695.0,857.0,793.0,866.0,667.0,537.0,18.0,52.0,95.0,5.0,773.0,8.0,43.0,84.0,16.0,343.0,18.0,4.0,0.4,0.2,0.46,0.87,0.92,0.84,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,7.720791793564307,True,False,-0.1234469748019338,-0.1030876147275248,-0.1048782942847244
86,249.0,93.0,16.0,wma,StochAstic_d,59.0,57.0,5.0,2.0,0.29,1250.0,878.0,113.0,262.0,215.0,38.0,287.0,291.0,116.0,389.0,411.0,206.0,138.0,615.0,908.0,537.0,357.0,263.0,883.0,813.0,340.0,328.0,448.0,105.0,668.0,105.0,211.0,146.0,710.0,359.0,11.0,57.0,24.0,10.0,907.0,18.0,36.0,48.0,15.0,59.0,1.0,15.0,0.21,0.29,0.83,0.94,0.8,0.92,True,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False,7.720791793564307,True,False,-0.1234469748019338,-0.1030876147275248,-0.1048782942847244
87,341.0,91.0,23.0,ema,StochAstic_k,337.0,55.0,5.0,13.0,0.18,927.0,242.0,245.0,17.0,976.0,63.0,44.0,890.0,64.0,17.0,805.0,315.0,173.0,341.0,737.0,546.0,438.0,323.0,969.0,551.0,344.0,259.0,16.0,884.0,359.0,879.0,665.0,849.0,212.0,141.0,8.0,25.0,52.0,15.0,851.0,6.0,10.0,55.0,2.0,302.0,1.0,10.0,0.14,0.18,0.73,0.9,0.83,0.92,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,True,17.7732593313822,True,False,-0.1265052357515781,-0.0549910625178883,-0.0554453731305793
