,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
44,HLCC/4,8,148,19,5,4,0.28,1209,604,392,328,300,24,236,402,53,23,381,376,237,824,759,571,490,338,989,754,424,388,100,470,760,299,387,501,380,4,24,36,39,13,236,7,12,63,6,261,23,4,0.37,0.33,0.17,0.29,0.3,0.46,True,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,39.72599888121529,True,False,-0.0731906996204088,-0.0131879052037737,-0.012903555798183
45,HL/2,7,22,14,5,18,0.06,311,370,258,137,529,84,34,289,26,29,801,164,248,650,878,619,420,411,914,862,440,344,228,609,793,602,432,435,719,814,25,51,12,5,263,18,43,41,7,947,25,8,0.17,0.22,0.06,0.12,0.19,0.29,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,True,False,39.27809263919774,True,False,-0.089380876716842,-0.0154418683959638,-0.0151116733494985
46,close,10,321,19,5,15,0.02,1289,769,343,244,556,150,383,666,315,185,392,359,25,601,971,772,428,252,854,776,339,275,668,784,991,937,974,19,843,146,4,13,28,8,491,11,30,71,9,636,7,12,0.34,0.2,0.02,0.81,0.12,0.13,True,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,-1.0,True,False,-0.0300082393685689,-0.0042056352470548,-0.0028633015598981
47,open,8,269,16,1,20,0.21,2450,934,200,380,324,223,328,54,156,3,947,372,192,286,945,594,376,255,952,833,405,320,948,502,141,319,915,790,633,612,9,25,84,7,99,4,40,12,4,434,22,15,0.25,0.33,0.86,0.99,0.9,0.97,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,-1.0,True,False,-0.2130605114744735,-0.0537466237086539,-0.0528029421721066
48,close,9,270,20,5,7,0.11,1621,993,318,349,426,245,97,251,353,388,278,98,25,45,969,507,359,315,950,622,450,392,17,673,723,377,605,863,916,784,27,56,85,19,357,17,42,61,11,368,25,13,0.36,0.3,0.48,0.84,0.64,0.93,True,True,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,7.843887441370987,True,False,-0.1007766858466923,-0.022546555263835,-0.0209963753508493
49,HLC/3,7,377,21,5,13,0.2,1919,257,352,134,327,64,127,975,14,82,233,239,383,553,833,542,468,363,783,697,481,437,236,29,423,918,489,956,219,554,6,17,9,2,700,5,22,64,1,709,9,18,0.19,0.17,0.29,0.35,0.45,0.52,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,24.75698332780383,True,False,-0.0758089061276535,-0.0139720056096349,-0.0139828943386108
50,open,8,203,14,4,4,0.02,1263,406,118,22,865,314,45,919,60,155,460,326,290,269,545,531,406,305,799,666,469,407,229,773,868,759,666,315,267,74,11,31,81,7,905,5,41,53,15,784,6,10,0.13,0.08,0.14,0.2,0.3,0.39,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,True,False,-1.0,True,False,-0.0411951060307865,-0.0051638849252544,-0.005325799016923
51,close,7,366,17,6,1,0.35,1763,978,147,252,703,46,218,876,55,113,598,99,5,187,651,504,381,337,908,713,436,419,621,440,494,399,362,96,598,637,17,37,62,14,64,14,47,98,19,844,11,22,0.25,0.33,1.2,1.05,1.12,1.19,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,True,-1.0,True,False,-0.222746658379217,-0.0576646471047642,-0.0571768129507326
52,low,10,196,20,5,3,0.29,2124,664,48,172,710,120,231,121,54,395,410,358,379,857,933,921,378,316,968,668,325,324,490,817,336,5,690,216,544,378,15,55,39,2,524,4,49,56,11,567,6,7,0.05,0.25,0.8,0.96,0.86,0.93,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,True,-1.0,True,False,-0.0441723879553958,-0.0065009044126331,-0.0062774742399623
53,open,9,172,19,5,5,0.22,1358,560,169,352,696,25,273,258,68,161,142,276,321,941,581,574,345,281,924,649,409,279,73,524,654,960,794,390,145,423,11,25,41,10,641,8,26,67,19,22,23,20,0.14,0.33,0.51,0.77,0.7,0.94,False,False,True,True,False,False,False,True,True,True,False,False,True,False,True,True,False,9.269766963182818,True,False,-0.0754754418448754,-0.0139400842838303,-0.0135037843315435
