,RSI_apply_to,RSI_length,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
14,OHLC/4,5,395,232,4,4,0.14,2864,229,350,174,279,136,382,626,58,380,651,285,205,414,943,847,355,338,687,632,416,280,956,469,798,990,895,397,828,910,2,39,4,18,498,7,35,80,2,734,18,18,0.05,0.34,0.33,0.39,0.37,0.44,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,True,8.069165138196743,True,False,-0.1328341742183434,-0.11138374518594807,-0.11690555258857412
15,HLC/3,6,304,263,5,15,0.32,744,778,176,274,856,60,266,782,63,202,391,266,178,728,914,816,337,266,704,703,435,311,219,796,795,17,157,860,796,239,3,40,16,17,652,6,49,15,20,930,22,3,0.14,0.02,0.16,0.22,0.22,0.28,True,True,False,False,True,True,True,True,False,True,False,False,True,True,False,False,False,20.592218214161978,True,False,-0.17163668458939815,-0.14843817945647172,-0.1576997411091095
16,low,5,379,343,6,17,0.01,905,222,291,396,103,324,381,177,128,26,51,159,381,567,993,864,270,251,842,726,410,257,839,884,830,120,544,942,991,876,14,21,101,11,853,18,39,58,18,484,8,18,0.12,0.1,1.14,1.08,1.07,1.16,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,0.0,False,True,0.0,0.0,0.0
17,low,4,357,267,6,15,0.1,1928,405,132,13,437,344,201,518,146,230,424,166,327,601,933,597,472,427,871,868,357,250,331,355,422,685,927,808,776,886,25,50,55,12,27,10,44,22,8,174,16,18,0.27,0.07,1.09,1.09,1.06,1.15,False,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,False,0.0,False,True,0.0,0.0,0.0
18,low,5,350,159,6,18,0.38,778,779,2,297,438,307,188,39,176,21,15,205,269,474,948,573,362,316,832,590,409,265,22,944,75,314,671,259,394,368,24,47,18,12,584,9,38,68,11,486,1,15,0.24,0.14,1.14,1.15,1.15,1.05,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,0.0,False,True,0.0,0.0,0.0
19,HL/2,7,419,285,6,8,0.27,1551,854,241,199,120,209,89,966,300,356,307,200,63,399,710,511,442,419,782,618,484,423,626,821,385,983,542,937,623,170,10,17,60,5,902,8,51,73,19,491,16,4,0.4,0.26,1.03,1.09,1.16,1.06,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
20,open,5,357,177,6,2,0.29,2726,975,326,396,906,357,379,736,305,255,730,33,180,280,826,769,409,294,909,640,433,409,354,487,121,557,498,388,142,923,17,52,24,18,831,17,39,17,19,501,24,11,0.23,0.29,1.01,1.05,1.02,1.17,False,False,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,0.0,False,True,0.0,0.0,0.0
21,OHLC/4,4,300,17,6,8,0.2,1986,501,325,295,973,212,130,319,325,335,695,154,332,419,731,596,467,342,747,690,388,297,206,966,718,54,860,713,162,947,17,60,85,20,998,8,12,73,8,401,3,8,0.07,0.26,1.04,1.06,1.09,1.2,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,0.0,False,True,0.0,0.0,0.0
22,HLCC/4,5,380,394,6,10,0.13,1930,559,331,183,40,257,294,564,122,259,556,6,25,696,716,549,403,397,953,792,454,384,369,628,342,899,461,705,173,212,18,47,20,7,252,13,21,78,4,507,2,13,0.39,0.29,1.13,1.18,1.16,1.0,True,False,False,True,False,False,True,True,False,True,False,True,True,True,True,False,False,0.0,False,True,0.0,0.0,0.0
23,HLC/3,6,371,42,6,2,0.33,307,903,377,106,78,321,383,19,24,93,642,254,304,922,735,501,423,398,764,540,294,280,93,149,292,102,12,888,148,417,6,44,64,19,23,14,50,45,12,587,1,13,0.23,0.23,1.09,1.18,1.17,1.07,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,0.0,False,True,0.0,0.0,0.0
24,close,5,343,70,6,7,0.28,1631,816,150,178,619,257,346,629,21,132,434,107,100,655,983,806,472,386,880,734,375,295,975,877,293,446,875,436,9,99,2,28,67,7,677,14,28,104,18,822,14,7,0.36,0.07,1.07,1.18,1.04,1.17,True,True,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,0.0,False,True,0.0,0.0,0.0
25,HLCC/4,6,310,310,6,8,0.25,1450,603,96,253,666,133,75,353,272,130,468,325,129,560,703,628,472,412,937,769,408,358,154,645,722,445,415,676,775,620,9,47,50,2,729,11,25,53,14,841,21,3,0.35,0.15,1.02,1.13,1.01,1.16,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0.0,False,True,0.0,0.0,0.0
26,HL/2,5,412,269,6,12,0.38,1546,367,7,379,600,77,147,641,340,63,1000,328,99,806,755,683,484,332,798,712,499,416,566,193,684,668,177,530,838,898,20,36,104,12,71,10,11,44,20,611,13,21,0.31,0.14,1.05,1.06,1.2,1.17,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
27,HLCC/4,7,296,104,6,20,0.11,1618,845,374,284,197,108,239,728,112,191,760,35,168,148,808,677,451,352,968,556,342,307,565,891,433,680,229,510,739,120,11,55,34,9,834,11,35,100,3,90,6,8,0.25,0.33,1.14,1.08,1.12,1.16,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,0.0,False,True,0.0,0.0,0.0
28,HLC/3,7,309,253,6,17,0.32,1317,996,36,391,880,331,363,322,213,219,286,331,170,941,778,633,396,369,863,788,446,286,810,669,809,954,329,713,696,702,21,57,103,6,876,9,51,47,4,491,16,23,0.37,0.39,1.0,1.18,1.12,1.12,True,False,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
