,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn,corr,corr_low,corr_high
101,low,174,379,31,macd,164,6,6,11,0.09,331,938,34,196,982,200,265,927,22,196,147,362,55,544,780,645,490,390,622,561,441,277,581,565,287,426,685,610,305,938,9,12,42,10,654,7,50,83,10,508,16,8,0.22,0.29,1.14,1.16,1.2,1.08,True,True,False,False,False,False,True,False,False,True,True,True,True,False,False,True,True,0.0,False,True,0.0,0.0,0.0
102,OHLC/4,150,489,40,macds,208,6,6,1,0.3,233,471,394,180,618,217,213,574,158,122,5,141,144,525,957,689,452,274,578,563,482,388,375,56,617,986,642,473,206,726,18,30,94,15,94,14,51,18,15,460,10,19,0.3,0.39,1.07,1.11,1.01,1.02,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,0.0,False,True,0.0,0.0,0.0
103,low,201,391,42,macd,320,8,6,10,0.33,2513,698,61,241,703,131,326,433,334,134,329,382,220,861,682,648,418,310,712,581,410,339,823,970,780,538,264,290,35,798,24,35,44,5,575,8,37,66,12,58,17,17,0.32,0.26,1.07,1.05,1.09,1.16,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,0.0,False,True,0.0,0.0,0.0
104,OHLC/4,202,525,40,macd,24,9,6,17,0.17,1470,356,7,340,792,84,282,424,134,57,377,294,367,813,867,720,444,420,952,574,474,269,379,68,221,474,565,889,772,266,15,21,92,13,487,11,43,72,6,999,3,2,0.35,0.36,1.1,1.0,1.19,1.02,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
105,HLC/3,194,443,34,macdh,180,7,6,4,0.37,2134,322,34,94,419,226,175,847,330,231,731,10,16,829,916,657,315,306,532,501,411,290,832,252,647,606,14,152,143,612,19,30,23,1,126,3,23,49,18,58,4,22,0.08,0.29,1.1,1.0,1.09,1.11,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,0.0,False,True,0.0,0.0,0.0
106,open,186,474,40,macd,141,8,6,16,0.13,2122,654,3,398,152,22,63,887,248,400,547,325,396,459,757,684,429,304,864,832,394,339,362,791,977,823,201,442,638,152,5,42,95,12,337,18,45,33,10,948,12,12,0.35,0.03,1.05,1.02,1.19,1.06,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,False,False,0.0,False,True,0.0,0.0,0.0
107,OHLC/4,209,421,32,macds,77,8,6,18,0.27,2224,903,181,213,990,110,155,459,349,59,504,104,34,25,876,746,418,320,918,776,440,277,816,603,867,834,431,333,304,67,20,39,81,20,954,13,31,42,4,176,6,8,0.3,0.06,1.0,1.09,1.01,1.1,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,0.0,False,True,0.0,0.0,0.0
108,high,163,376,32,macds,233,9,6,19,0.21,2407,969,41,241,3,281,107,897,57,218,862,342,156,543,663,557,493,435,839,687,467,371,890,454,825,872,141,800,436,523,16,43,77,16,690,11,32,70,16,53,18,3,0.33,0.4,1.09,1.11,1.12,1.16,True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,0.0,False,True,0.0,0.0,0.0
109,HLCC/4,161,399,30,macdh,33,7,6,7,0.29,2028,437,126,49,811,324,216,365,265,24,549,261,151,774,829,648,412,269,827,770,437,345,167,226,207,244,661,342,790,422,24,53,23,8,173,10,52,11,14,903,12,19,0.31,0.26,1.18,1.09,1.2,1.2,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,True,0.0,False,True,0.0,0.0,0.0
110,HLC/3,207,475,37,macd,30,8,6,3,0.3,457,974,168,358,562,300,326,740,383,174,516,263,78,260,756,747,413,323,926,850,405,329,264,726,675,321,269,452,23,953,7,28,75,5,549,3,19,103,16,618,18,23,0.1,0.12,1.06,1.06,1.12,1.15,True,True,False,False,True,False,True,False,True,False,False,False,True,True,True,False,True,0.0,False,True,0.0,0.0,0.0
