,StochAstic_k,StochAstic_d,StochAstic_smooth_k,StochAstic_mamod,StochAstic_column_div,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
4609,797.0,672.0,31.0,wma,StochAstic_k,-0.2354530694337001,-0.2386045432051758,5.0,425.0,263.0,20T,-0.1287623479202148
4610,95.0,48.0,23.0,ema,StochAstic_d,-0.1859885104132902,-0.1853760974086325,6.0,263.0,263.0,20T,-0.1288181863088305
4611,383.0,123.0,15.0,wma,StochAstic_d,-0.2330088500545759,-0.2293799305152238,1.0,490.0,325.0,20T,-0.1288237513222591
4612,358.0,124.0,27.0,wma,StochAstic_k,-0.1568015263615824,-0.1623450640865906,3.0,260.0,130.0,20T,-0.1288317443236946
4613,561.0,69.0,47.0,ema,StochAstic_k,-0.2673427141065515,-0.2672373589550423,4.0,326.0,405.0,20T,-0.1289324571923446
4614,874.0,619.0,4.0,sma,StochAstic_k,-0.1634549112449841,-0.1639300791290581,4.0,90.0,101.0,20T,-0.1289383781714282
4615,316.0,43.0,27.0,wma,StochAstic_k,-0.1732438312394779,-0.1933641385338009,4.0,195.0,152.0,20T,-0.1289450164846574
4616,175.0,50.0,6.0,sma,StochAstic_k,-0.1983368494109876,-0.2002976325449708,6.0,415.0,327.0,20T,-0.1289706816914146
4617,192.0,115.0,15.0,wma,StochAstic_d,-0.2421849091284631,-0.2460922136628802,4.0,312.0,466.0,20T,-0.1289780531642884
4618,774.0,726.0,8.0,wma,StochAstic_d,-0.2502239576496537,-0.2522655672548455,2.0,184.0,45.0,20T,-0.1289897676916122
4619,210.0,149.0,44.0,sma,StochAstic_d,-0.2442964837855567,-0.2443973778237904,5.0,185.0,453.0,20T,-0.1290541831507805
4620,480.0,244.0,38.0,wma,StochAstic_k,-0.2740729801270719,-0.2801069114658777,3.0,86.0,445.0,20T,-0.1290573349970094
4621,493.0,447.0,48.0,ema,StochAstic_k,-0.2444346310913835,-0.2443592642278553,5.0,412.0,298.0,20T,-0.1290717946165483
4622,867.0,245.0,21.0,ema,StochAstic_k,-0.2958290637200031,-0.3028674144882322,2.0,54.0,451.0,20T,-0.1290728432578504
4623,406.0,136.0,7.0,sma,StochAstic_k,-0.2279015459100672,-0.2359292612876267,5.0,102.0,478.0,20T,-0.1290812087048225
4624,329.0,247.0,16.0,sma,StochAstic_k,-0.2102527397529488,-0.2131221508657862,2.0,189.0,402.0,20T,-0.1290834300725412
4625,279.0,236.0,15.0,ema,StochAstic_k,-0.218723631624326,-0.2235822337560156,5.0,296.0,448.0,20T,-0.1291006885281458
4626,275.0,122.0,18.0,wma,StochAstic_d,-0.1582079398521955,-0.1546110979763085,1.0,94.0,79.0,20T,-0.1291171319479327
4627,430.0,235.0,24.0,wma,StochAstic_k,-0.2027554475054123,-0.2042765037005676,6.0,339.0,206.0,20T,-0.1291411839658383
4628,432.0,186.0,25.0,sma,StochAstic_d,-0.2265679804611469,-0.2263470884727878,4.0,305.0,255.0,20T,-0.1291440034848081
4629,712.0,241.0,40.0,sma,StochAstic_d,-0.2778156303505285,-0.2777020377795868,1.0,223.0,332.0,20T,-0.1292700523600828
4630,735.0,715.0,39.0,wma,StochAstic_k,-0.2210725507003873,-0.2220886285697195,1.0,282.0,250.0,20T,-0.1292720413781909
4631,371.0,75.0,19.0,ema,StochAstic_d,-0.2525820225655152,-0.2516325042936777,1.0,190.0,471.0,20T,-0.129285364582553
4632,454.0,277.0,7.0,ema,StochAstic_d,-0.2320326021392708,-0.2331463806114794,5.0,491.0,385.0,20T,-0.1293438825685348
4633,434.0,201.0,48.0,sma,StochAstic_k,-0.1457979921361227,-0.1455724973042694,6.0,196.0,93.0,20T,-0.1293630805889632
4634,321.0,304.0,12.0,ema,StochAstic_k,-0.2222112158257805,-0.2214875185963212,6.0,445.0,358.0,20T,-0.1293766703498397
4635,894.0,469.0,37.0,wma,StochAstic_k,-0.2581568876881477,-0.2624180685374849,5.0,105.0,357.0,20T,-0.1294223088427884
4636,792.0,596.0,22.0,wma,StochAstic_k,-0.1274562758740182,-0.1252802499841673,5.0,384.0,51.0,20T,-0.1294973600150045
4637,340.0,337.0,32.0,ema,StochAstic_k,-0.2199104065233235,-0.2245095531719553,3.0,325.0,365.0,20T,-0.1295123233837798
4638,398.0,126.0,10.0,sma,StochAstic_d,-0.2360002553150687,-0.23045176591782,2.0,96.0,343.0,20T,-0.1295738913093528
4639,171.0,138.0,45.0,sma,StochAstic_d,-0.2005127403109383,-0.2010230829816308,3.0,250.0,250.0,20T,-0.1295966833367614
4640,554.0,270.0,24.0,ema,StochAstic_d,-0.2292329796316051,-0.2262456491387746,6.0,354.0,328.0,20T,-0.1296290113242476
